Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-05-09,Soul,2020,https://boxd.it/ei61RL,3,,,2023-09-07
2026-01-27,The Shawshank Redemption,1994,https://boxd.it/cQ8Hf9,5,Yes,,2026-01-26
2026-01-27,Chinatown,1974,https://boxd.it/cQ8JFD,4.5,Yes,,2026-01-26
2026-01-27,I Am Sam,2001,https://boxd.it/cR7dwL,5,Yes,,2026-01-27
2026-01-28,Zoolander,2001,https://boxd.it/cS8zVf,1,Yes,,2026-01-28
2026-01-28,Zoolander 2,2016,https://boxd.it/cS8BAt,1,Yes,,2026-01-28
2026-01-28,Tropic Thunder,2008,https://boxd.it/cS8GdJ,3.5,Yes,,2026-01-28
2026-01-28,The Secret Life of Walter Mitty,2013,https://boxd.it/cS8Iql,4,,,2026-01-28
2026-01-29,Sentimental Value,2025,https://boxd.it/cScZmN,3,,,2026-01-28
2026-01-30,Parasite,2019,https://boxd.it/cTK0jl,4,Yes,,2026-01-30
2026-01-30,Mickey 17,2025,https://boxd.it/cTK44T,2.5,,,2026-01-30
2026-01-30,Snowpiercer,2013,https://boxd.it/cTK7JF,3.5,Yes,,2026-01-30
2026-01-30,Memories of Murder,2003,https://boxd.it/cTK9OR,5,Yes,,2026-01-30
2026-01-30,Darkest Hour,2017,https://boxd.it/cTT5nF,4,Yes,,2026-01-30
2026-01-30,Nuremberg,2025,https://boxd.it/cTT85z,3,Yes,,2026-01-30
2026-01-30,Bugonia,2025,https://boxd.it/cTTbqZ,3,Yes,,2026-01-30
2026-01-30,F1,2025,https://boxd.it/cTTcEt,5,Yes,,2026-01-30
2026-01-30,Frankenstein,2025,https://boxd.it/cTTd4r,3,Yes,,2026-01-30
2026-01-30,There Will Be Blood,2007,https://boxd.it/cTThcf,5,Yes,,2026-01-30
2026-01-30,Punch-Drunk Love,2002,https://boxd.it/cTThDF,3,Yes,,2026-01-30
2026-01-30,Magnolia,1999,https://boxd.it/cTTiNh,3.5,Yes,,2026-01-30
2026-01-31,Ratatouille,2007,https://boxd.it/cUQhCF,5,,,2026-01-31
2026-01-31,Troy,2004,https://boxd.it/cUQjeb,4,Yes,,2026-01-31
2026-02-01,The Station Agent,2003,https://boxd.it/cVgJeN,2.5,Yes,,2026-01-31
2026-02-01,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/cVYsMh,1.5,,,2026-02-01
2026-02-05,Brokeback Mountain,2005,https://boxd.it/cZTfTl,3.5,,,2026-02-05
2026-02-08,Forrest Gump,1994,https://boxd.it/d1UbHl,5,Yes,,2026-02-07
2026-03-01,The Mastermind,2025,https://boxd.it/dl6s4F,2,,,2026-02-28
2026-03-01,Marty Supreme,2025,https://boxd.it/dlJtX5,3.5,,,2026-03-01
2026-03-02,Meet the Fockers,2004,https://boxd.it/dlWYKn,3,,,2026-03-01
2026-03-02,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/dmJb7f,4.5,,,2026-03-02
2026-03-03,Sex Tape,2014,https://boxd.it/dmRaIb,3.5,,,2026-03-02
2026-03-03,Vertigo,1958,https://boxd.it/dmRdPT,3.5,,,2026-03-02
